Time,Y,C,Exp,Imp,Gov,Inv,int.rate,M,P,ec
Y2000Q1,,,,,,,,49.46928351,78.97508109,98.57666667
Y2000Q2,0.816910032,1.139291628,0.267892986,3.600563695,0.40240097,0.622636265,-0.14,49.35942151,79.46699781,98.55666667
Y2000Q3,0.541475216,0.517473488,4.512488215,3.438544017,1.946587975,1.531688735,0.04,49.77202043,80.04572301,98.70333333
Y2000Q4,1.640517542,0.658702991,2.141545534,1.984450724,0.882846971,-0.711917885,-0.11,50.44047405,80.17433195,98.74666667
Y2001Q1,0.384315426,0.124259805,-0.667033341,-2.583147032,1.087030125,1.895005984,-0.32,49.99127074,81.06300795,98.43666667
Y2001Q2,-0.484201456,-0.375159534,1.11004706,1.447962324,0.495573594,0.664456746,0.21,50.67044223,81.82002783,98.48
Y2001Q3,-0.22558753,-0.389391582,-2.913163162,-1.02890078,0.704863203,-0.30809843,-0.1,52.27349099,82.40755342,98.25333333
Y2001Q4,-0.103524625,0.016845677,-0.803541211,-0.916864721,2.492517904,0.80262189,-0.33,52.94883955,82.91314641,98.87
Y2002Q1,0.082256402,0.20583318,-1.263652472,0.39806184,-1.741396536,1.623438392,0.31,54.63023393,84.06937573,98.18333333
Y2002Q2,0.398580191,-0.323921286,-0.061100757,0.129366247,1.350329077,-0.48049922,0.1,55.89178882,84.3903869,98.87333333
Y2002Q3,0.286670189,0.404665963,0.561438864,0.0235995,-0.645696985,3.23250082,-0.5,56.94900953,85.16075569,98.9
Y2002Q4,0.141038152,0.616765063,1.417754623,5.001043787,-0.319059485,2.6835556,-0.17,60.0468045,85.57752671,99.60666667
Y2003Q1,-0.124908693,-0.111505627,-2.357085355,-0.632271746,0.855731281,-3.961996503,-0.44,60.57618327,86.24659275,98.84666667
Y2003Q2,-0.335066279,0.276233604,-3.044017393,-2.046647729,-0.134304057,-0.121409823,-0.08,62.32618672,87.01618558,99.97666667
Y2003Q3,0.265157577,0.289345684,2.736807641,-1.338329195,2.200704674,0.767531246,0.17,63.42968757,88.54560987,99.88
Y2003Q4,0.537145493,-0.035594678,1.934244538,1.967547914,-1.112954324,0.52442347,0.12,64.09906761,88.18074231,100.43
Y2004Q1,0.507555612,0.326878868,0.968853399,2.287327697,0.360234455,0.609025805,-0.17,65.94241098,88.53896409,99.55666667
Y2004Q2,0.33838085,0.289691743,2.968013702,1.074048228,0.218054402,0.404490355,0.18,67.0176816,89.37873964,100.0966667
Y2004Q3,0.295820373,0.127718419,0.695817058,0.573305348,0.602326538,-0.283138374,-0.14,68.34575112,89.79708352,99.89666667
Y2004Q4,0.009185399,0.605323328,-0.810048248,1.544643429,-0.309270254,0.815796631,-0.35,68.67268951,91.1102067,100.2433333
Y2005Q1,-0.086003085,-0.260360842,0.445547918,0.433168379,1.240793768,-0.452729694,-0.23,70.58093811,90.66930686,99.61666667
Y2005Q2,0.811885084,0.786960913,2.751663393,1.39202738,-1.22706888,1.599577523,-0.2,72.57650624,90.90686179,100.3233333
Y2005Q3,0.668004856,0.759946949,1.575142108,-0.106713509,0.368379854,1.096444733,-0.15,73.83404359,91.26125336,99.80333333
Y2005Q4,0.207257959,0.125955971,1.813373593,2.543676205,0.097425573,0.515272706,0.16,74.88007426,92.7527079,100.26
Y2006Q1,0.487969962,0.348210823,2.572937439,3.647847173,-0.56543937,1.360548033,0.17,76.58733165,92.02457903,99.48
Y2006Q2,0.576304942,0.006421428,2.300717476,0.475505404,0.529476044,-0.363431931,0.55,77.58294677,93.21039561,100.1933333
Y2006Q3,0.38655805,0.594700576,-0.372044574,1.244403549,-0.671744281,0.163274554,-0.1,78.53938688,93.32381995,100.06
Y2006Q4,1.117866338,0.418354416,5.325789706,4.468119401,0.736331979,3.304191423,-0.14,80.43889682,93.96288905,100.4966667
Y2007Q1,0.230886166,0.459770673,-0.222550741,0.351035323,-0.405046216,0.145986812,0.21,80.50728123,94.348453,99.58
Y2007Q2,-0.011894452,0.344217084,1.033398233,-0.702046986,0.244390941,-1.486358876,0.3,81.72373654,94.73049551,100.0566667
Y2007Q3,-0.106446683,-0.189973267,1.562654412,1.99479846,-0.274830397,-0.406274073,0.1,82.52035264,95.53133366,99.69
Y2007Q4,-0.050030115,-0.249205865,-0.712574216,-0.67482842,1.479550261,0.39045174,-0.11,83.28369713,97.00263803,100.05
Y2008Q1,0.827986838,-0.245673385,0.885253877,-1.006858033,-0.754237351,0.508311895,-0.15,84.35447816,96.51382317,99.41333333
Y2008Q2,-0.765305522,-0.183637164,-2.069728775,-1.081997701,1.768132416,-1.889572811,0.4,85.58363827,97.79237231,100.08
Y2008Q3,-1.297048243,-0.868624583,-2.789060217,-2.641901104,-1.568158816,-1.969004892,0.12,86.40408529,97.59389697,99.76333333
Y2008Q4,-2.325545067,-0.511232901,-7.079908054,-4.634997985,0.682721968,-4.122589077,-0.24,90.03082627,99.23787876,100.62
Y2009Q1,-2.913677924,-0.85333857,-12.22200433,-7.672698157,-0.236366478,-4.116804434,-0.12,92.28343237,99.34299417,99.63666667
Y2009Q2,-0.555747177,0.010151031,-1.883407671,-3.799378652,0.381351751,-1.758594594,-0.08,94.72706666,99.54347131,100.7266667
Y2009Q3,0.540045312,0.134187149,3.91870015,3.556980881,1.190821387,-0.843744586,-0.27,97.02689492,99.77751963,100.3233333
Y2009Q4,0.227800364,0.583939311,1.257779643,2.867174028,-1.691630726,0.553999558,-0.14,99.54073136,100.0609335,101.0533333
Y2010Q1,0.423306597,0.084116709,3.332648115,4.076588876,1.019326822,-1.178029616,-0.03,100.0612596,99.50819671,99.91666667
Y2010Q2,0.695368191,0.2409593,4.214816932,2.875038822,0.19219836,1.111361313,0.01,100.9246367,99.84404626,100.8633333
Y2010Q3,0.554488755,0.695761553,3.103568838,2.60389614,0.315323066,0.149764093,-0.13,99.96057934,100.0321837,100.42
Y2010Q4,0.465076484,0.322920297,1.679059937,4.371842353,-0.611146861,0.532822623,0.29,99.05352436,100.6155733,101.09
Y2011Q1,0.291929747,-0.07508254,0.951929159,-1.544548249,-0.955525882,-1.125237505,0.59,99.33143086,100.8531111,99.83
Y2011Q2,0.199771915,-0.000852929,1.601871286,-1.628179329,-0.460808423,-0.218056868,0.02,98.97708595,101.0469505,101.1733333
Y2011Q3,-0.502166307,-0.393975185,0.305624671,-0.701915193,-0.799999007,-1.407430639,0.69,99.49784642,101.6604578,100.3066667
Y2011Q4,-1.085685975,-1.614836828,-0.373158659,-3.286044348,0.51222879,-1.760320918,1.12,97.62011236,102.3364478,102.02
Y2012Q1,-0.922057182,-1.701935774,0.095368816,-3.307238255,-0.662142813,-4.762437319,-0.9,96.78154762,102.6606664,100.7966667
Y2012Q2,-0.767784093,-0.514057742,1.601323429,-1.790294774,-0.601881098,-1.891025378,0.08,96.3457531,102.9342343,102.52
Y2012Q3,-0.48149655,-0.750828768,1.726403082,0.135597252,0.280191166,-2.218216992,-0.1,98.22888961,102.8928769,101.4233333
Y2012Q4,-0.561931129,-0.773119937,-1.77012905,-2.798152515,-1.104178298,-1.272191834,-0.91,97.75703363,103.0026043,102.3966667
Y2013Q1,-0.916957238,-1.150877586,-0.020057283,-0.15346701,0.729461099,-3.734561271,-0.33,100.3073348,103.7355365,100.9666667
Y2013Q2,-0.087036993,-0.400877333,0.395704672,-0.914465921,0.399642518,-0.246957954,-0.24,99.812701,104.1110282,102.1833333
Y2013Q3,0.195120227,0.142541549,1.583729694,2.222549323,-1.020149012,0.119355749,0.25,100.9792247,104.1883902,100.9966667
Y2013Q4,-0.082507823,0.217720093,-0.413265274,0.003121573,0.090313238,-1.285555977,-0.31,101.0379495,104.4930838,102.04
Y2014Q1,-0.144073105,0.272778389,0.587858475,0.449593201,-0.31650911,-1.594414688,-0.51,103.4627134,104.9227456,100.67
Y2014Q2,-0.128501056,0.158322279,1.276758651,1.268363097,-0.76373974,-0.584746574,-0.55,104.6407115,104.7282758,101.9033333
Y2014Q3,-0.062992651,0.063575741,0.54983906,1.162498342,0.399626417,-0.552317186,-0.48,107.9428133,104.764699,100.4333333
Y2014Q4,-0.038913364,0.247597163,1.753012576,0.534060287,-0.020572635,-0.239828747,-0.38,109.5480006,105.4786182,101.97
Y2015Q1,0.37245258,-0.069171541,1.594413424,3.212839679,-0.801731013,0.605082631,-0.71,112.507329,105.397031,100.8366667
Y2015Q2,0.241764358,0.501797542,1.256471031,1.453345278,-0.152159545,0.195865816,0.27,114.3346058,105.4510182,101.7233333
Y2015Q3,0.255372971,0.500841767,-1.381074471,-0.247057708,0.217554563,0.565642827,0.14,116.6924466,105.903096,100.6166667
Y2015Q4,0.210085987,0.315840331,1.225438321,0.943063947,0.5864827,0.781547934,-0.32,118.3791559,106.3016235,101.9
Y2016Q1,0.310949746,0.357371895,-1.463372928,-0.895483811,0.164486527,0.223975145,-0.12,121.3926375,106.7178301,100.6833333
Y2016Q2,0.022536482,0.069773339,2.57403387,4.461283792,0.349910789,0.39430977,-0.02,124.1403086,106.7679068,101.39
